name,region,review,stars
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Margarita,US,There’s no one to train and no calls or… - There’s no one to train and no calls or emails back,1
Ron,US,"Great Company - Jorel was fantastic, very informative and willing to spend as much time as I needed to be comfortable and knowledgeable as I can be with the system.",5
Chad,US,Megan Hill is simply awesome - Megan Hill is simply awesome. Megan really helped and made the integration process a breeze.,5
Michael,US,Excellent - Superb does CRM I’ve ever researched or used,5
valued customer,US,This has been the best way to keep… - This has been the best way to keep track of our jobs and stay organized.,5
Joe,US,"Smooth onboarding - Smooth onboarding, very helpful, and well prices!",5
Joseph,US,You were great and easy to work with - You were great and easy to work with. Thank you!,5
Priscilla,US,"JobNimbus Services and Staff 5 Gold Stars - Not only does JobNimbus' services/products sell themselves, the staff are incredibly helpful in helping set everything up.",5
Tom Prince,US,"Huge let down in service. - I have been with Job Nimbus now for a couple months and so far, am very disappointed. The onboarding process was very unorganized and felt rushed. I paid for the year subscription up front to take advantage of the savings and not now feel that was a big mistake. Once the onboarding is done from their standpoint it's like they don't care at all anymore. The Job Nimbus rep was unprepared for several of the meetings which made them a waste of time. Our contracts were not set up properly and there are constant glitches with the system. What was meant to simplify our process has only made things worse. If i had to do over I would have gone a different direction.",1
Ken Cope,US,Can never get support by phone and… - Can never get support by phone and about 50% of the time via chat.  Lots of great features but the training videos are outdated so can't learn how to use them.  Every time I ask for more training I am told that I had my onboarding call and I don't get any more.  Can't wait to find another software!!!!!,2
Ryan Dority,US,"JobNimbus is a scam underneath all of… - JobNimbus is a scam underneath all of the flash. I was excited when I signed up for JobNimbus but came to realize about three months in it was one big scam. Their templates don't work for contracts. Their salesman told me first 3 months 50% off and proceeded to charge me for the first month and claimed it was months 2-4 50% off. He also charged me for a subscription at a higher price we didn't discuss. After all of this, when I tried to cancel my subscription they attempted to continue to charge my credit card countless times and claimed ""you must cancel your subscription TWO weeks prior to it ending."" Who does this other than a scam company that wants to nickel and dime you every chance they get? I'm glad I didn't give them all of my data, who knows if they would've held it hostage. Truly a shame! I was looking forward to using their product. One big scam.",1
Zach,US,Combining Report Columns - Make it so I can combine the columns in the invoice report with the columns in the contact report. Acculynx allows the user to do it,1
Ryan Gonzales,US,"Upgrade your business processes with JobNimbus - Or company had used JobNimbus for the last 2 years and it has greatly increased or ease of operations with job site inspections and organization! It roof inspection prices has been made much easier with photo sharing and I see upcoming changes that will continue to make their platform even more use friendly. Also, I have attended a JobNimbus crew event and it was very informative. I highly recommend this CRM, as they say it will make you a ""hero contractor""",5
jim,US,my request was obvious and simple but… - my request was obvious and simple but still unauthorized to go around from my end. never solved,1
Eric Connelly,US,Navigation issue resolved - Cust support was able to resolve my issue quickly,5
David Kennel,US,"Awesome job! - Sorry, I'm busy. I know whatever I needed was resolved quickly. Thank you!",5
Jake,US,Going great! - So far so good! Lexie Littledike was a great trainer for our onboarding process and all around tremendous!! Very knowledgeable and answered all of our questions with ease!,5
valued customer,US,QuickBooks Integration - Our representative was very knowledgable and helpful.,5
Adam Clements,US,"Not user friendly - The ""calendar"" is a mess. It's not user friendly and it's difficult to look at.",1
Ron,US,Why am I paying for a program I cannot… - Why am I paying for a program I cannot use until my on boarding has taught me enough to use it,1
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Luis,MX,Great love the app./,5
Monica,US,Onboarding was excellent! - There were many onboarding calls each with separate info to learn so it was not too overwhelming. All of the onboarding specialists were very helpful and friendly.,5
JR,US,"JobNimbus doesn't compare to Contractors Cloud. - We have used Contractors Cloud for 8 years before migrating to JN with the expectation the automation and communication would streamline our operations and overall effectiveness. Headache, stress, lack of response, buggy as s@8t, no way to easily track per job P&L! It does have a few features that keep it out of the 1star category, but it's not worth double the cost and 10x the headache. Beacon/SRS integrations are not all they could be.  That was a selling point and after 4 months, the pricing is still not accurate, so I have to work with Beacon people to get that fixed, time and time again. They certainly spent a lot of time and effort to bring in SumoQuote, to the detriment of existing JN users and support.  They even stated they have redirected support resources to the integration. Like another review said, I feel I'm always in Beta mode.",2
Dwight,US,new client - We are a new client of Job Nimbus.  Hope program changes our business,5
Jhon,US,Technical support too long to respond… - Technical support too long to respond and they do not solve anything.,3
Debbie,US,Easy Syncing Process - Aaron was very helpful in getting Quick Books and Jobnimbus synced. It was a very smooth process.,5
Brandon,US,No bueno!! - Do yourself a favor and get Acculynx even if it costs more. Jobnimbus is not user friendly and has less functionality. Maybe if someone from the company offered to train users on their product I might see the benefits but that hasn’t happened.,1
Rob,US,"Love almost everything - Love everything as far as a CRM goes….But i would have given a 4 star for some things like- Need pictures to work as easy as company cam. Yes, i know you acquired them. You need a better payment processing system (ACH in 1 day) and you need a good phone system like Podium. Engage was very Laggy so we turned it off. You need to make sure the phone and text are quick to go through.",5
Nicole,US,"Disappointing Experience with Job… - Disappointing Experience with Job Nimbus - Limited Features and No Refund Policy. I recently had a less-than-pleasant experience with Job Nimbus, a CRM software that my company purchased based on their assurance that it would meet our needs. Unfortunately, our decision to trust their recommendation and bypass the free trial has proven to be a costly mistake. Within two weeks of making the annual upfront payment, we discovered that Job Nimbus lacked critical features essential to our business, notably the inability to generate a good, better, best quote—a fundamental requirement for our operations. This limitation, among others, severely hindered the software's functionality for our company. Upon realizing that Job Nimbus was not the solution we had hoped for, we promptly contacted the company requesting a refund for the unused months. Despite our genuine dissatisfaction and the fact that we had barely scratched the surface of their service, they declined to offer any refund. While I understand that terms and conditions may exist, it's disheartening to find out after the fact that we were expected to navigate through them diligently. We were not directed to review the terms and conditions during the purchasing process, which I believe is a lapse in communication and transparency on Job Nimbus's part. This lack of flexibility and understanding from Job Nimbus has left us not only with a software that doesn't meet our needs but also with a sense of frustration and disappointment in their customer service. It's disappointing to see a company prioritize their terms and conditions over customer satisfaction and goodwill. I hope this review serves as a cautionary tale for others considering Job Nimbus. I would strongly advise potential customers to thoroughly review the terms and conditions, and perhaps even reconsider using a company that is not willing to work with customers to find a satisfactory resolution. Transparency and customer-centric policies should be at the forefront of any business, and unfortunately, in our experience, Job Nimbus falls short in these aspects.",1
Scott,US,"Nick came prepared - Nick came prepared, he is well versed on the platform and he was able to listen, understand and help create a solution that works for us. We are very excited to roll this out to our company.",5
Anthony,US,"Making our transition from one CRM to another Siper easy - Job Nimbus has been super responsive and user friendly to get started, they are even assisting us in getting info saved from our previous CRM.",5
Ann Erramouspe,US,Amazing customer service! - We love the customer service that JobNimbus provides!,5
Tanner,US,Great CRM!! - Great CRM!!! Very easy to use and figure out on your own. They do have a very good YouTube channel to help you through setting it up best for your use.,5
Alexie,US,"Can't get ahold of people - Can't get ahold of people, wait a week to get an answer.",2
Ryan,US,So far so good....we only just begun to… - So far so good....we only just begun to figure out how to use the program.  We are hopeful that it will do everything we've heard it will!,5
Terry,US,Helpful Satff - I love reaching out and always getting answers to my questions. Thank you ;),5
Mike Fast,CA,We're really liking JobNimbus!,5
Erik,US,Not A One Stop Shop - Decent CRM but terrible at project management which is a bit disappointing given the very high monthly cost. There are no gantt charts or other basic project management tools which means we have to use different software and duplicate data entry.,3
Richard,US,JobNimbus is amazing - JobNimbus is the best tool to stay organized and productive as a team in construction.  Also their support is the absolute best!  I have been the IT manager using them for almost 5 years and I highly recommend them!,5
Lyanne,US,I don't like that you charge your… - I don't like that you charge your clients extra for training on how to use a CRM that they already pay you for,1
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Brad,US,"No basic notifications of when messages… - No basic notifications of when messages (notes/tasks) are assigned on the desktop? Really? Also, no note threads? Again really? Users need to be able to comment back to each other on a note or task.",3
Jon,US,We are paying for a subscription to use… - We are paying for a subscription to use your service and it's very unprofessional to look at pop ups when you're sitting next to a customer inputting their personal information and ads are popping up. It ruins the whole relationship,1
Daniel,US,Great product - I love JobNimbus,5
Shawn,US,"System is not stable on Android, - System is not stable on Android, Lack of updates and sometimes very lagging, it was not from phone or provider as I tested other systems.",2
Brendan,US,"Terrible interface - Terrible interface, not userfriendly",1
Tamra,US,Great Customer Service - Mickey was amazing. Quite helpful and friendly.,5
T.B.,US,Great CRM and very user friendly!,5
Dennis,US,"JobNimbus has been helpful keeping… - JobNimbus has been helpful keeping track of clients, appointments and tasks.",5
Jennifer,US,AMI Builders - I like the way the system is set up.,5
Brian,US,"Helps us stay organized - Helps us stay organized. Really improves our efficiency, and numbers follow.  I wish the back button took you back to the previous screens like other sites do, but everything can't be perfect.",4
Ryan,US,I love it it makes it easy to do… - I love it it makes it easy to do business,5
Amanda,US,Happy & Satisfied - Useful CRM for the business I work in.,5
Eric,US,No live chat or forum to talk directly… - No live chat or forum to talk directly with.,3
Bret Stinson,US,"Next Level - We have grown past the point of pen & paper and using the “old school” methods. Once we started installing more than 6 roofs a week, there was no way. We needed help!! JobNimbus not only allowed us to service our customers better and our current pace, but enabled us to spring board into even more growth. We now install 12-14 roofs a week and I won’t say it’s easy, but there is NO WAY we could be doing the volume that we’re doing without them or their services. Thank You JobNimbus Bret Stinson Roof Masters / Owner",5
James,US,"Great Project Management Tool, Poor Cost Accounting! - I'm giving you 3 stars not because your program isn't good.  For what it does, in data collection, preparing estimates, to jobs, closing jobs and invoicing is all great.  I am a cost accountant, and for me the system lacks the ability to identify jobs by job number.  It also can not accumulate the costs incurred on any one project.  This I see as a weakness in the system.  But as far as a project management tool, its great.",3
